YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE
111,27,001,012,10,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,11,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,12,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,13,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,17,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,18,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,19,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,20,27001012,0,0,0,0,0,0,0,0,0
111,27,001,012,21,27001012,0,0,0,0,0,0,0,0,0
111,27,001,013,09,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,10,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,11,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,12,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,13,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,17,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,18,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,19,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,20,27001013,0,0,0,0,0,0,0,0,0
111,27,001,013,21,27001013,0,0,0,0,0,0,0,0,0
111,27,001,014,09,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,10,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,11,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,12,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,13,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,17,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,18,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,19,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,20,27001014,0,0,0,0,0,0,0,0,0
111,27,001,014,21,27001014,0,0,0,0,0,0,0,0,0
111,27,001,015,09,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,10,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,11,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,12,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,13,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,17,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,18,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,19,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,20,27001015,0,0,0,0,0,0,0,0,0
111,27,001,015,21,27001015,0,0,0,0,0,0,0,0,0
111,27,001,016,09,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,10,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,11,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,12,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,13,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,17,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,18,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,19,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,20,27001016,0,0,0,0,0,0,0,0,0
111,27,001,016,21,27001016,0,0,0,0,0,0,0,0,0
111,27,001,017,09,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,10,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,11,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,12,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,13,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,17,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,18,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,19,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,20,27001017,0,0,0,0,0,0,0,0,0
111,27,001,017,21,27001017,0,0,0,0,0,0,0,0,0
111,27,001,018,09,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,10,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,11,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,12,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,13,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,17,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,18,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,19,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,20,27001018,0,0,1,0,0,0,0,0,0
111,27,001,018,21,27001018,0,0,1,0,0,0,0,0,0
111,27,001,019,09,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,10,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,11,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,12,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,13,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,17,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,18,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,19,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,20,27001019,0,0,0,0,0,0,0,0,0
111,27,001,019,21,27001019,0,0,0,0,0,0,0,0,0
111,27,001,020,09,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,10,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,11,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,12,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,13,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,17,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,18,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,19,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,20,27001020,0,0,0,0,0,0,0,0,0
111,27,001,020,21,27001020,0,0,0,0,0,0,0,0,0
111,27,001,021,09,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,10,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,11,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,12,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,13,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,17,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,18,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,19,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,20,27001021,0,0,0,0,0,0,0,0,0
111,27,001,021,21,27001021,0,0,0,0,0,0,0,0,0
111,27,001,022,09,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,10,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,11,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,12,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,13,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,17,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,18,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,19,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,20,27001022,0,0,0,0,0,0,0,0,0
111,27,001,022,21,27001022,0,0,0,0,0,0,0,0,0
111,27,001,023,09,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,10,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,11,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,12,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,13,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,17,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,18,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,19,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,20,27001023,0,0,0,0,0,0,0,0,0
111,27,001,023,21,27001023,0,0,0,0,0,0,0,0,0
111,27,001,024,09,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,10,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,11,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,12,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,13,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,17,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,18,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,19,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,20,27001024,0,0,0,0,0,0,0,0,0
111,27,001,024,21,27001024,0,0,0,0,0,0,0,0,0
111,27,002,001,09,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,10,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,11,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,12,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,13,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,17,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,18,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,19,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,20,27002001,0,0,0,0,0,0,0,0,0
111,27,002,001,21,27002001,0,0,0,0,0,0,0,0,0
111,27,002,002,09,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,10,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,11,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,12,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,13,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,17,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,18,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,19,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,20,27002002,0,0,0,0,0,0,0,0,0
111,27,002,002,21,27002002,0,0,0,0,0,0,0,0,0
111,27,002,003,09,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,10,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,11,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,12,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,13,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,17,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,18,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,19,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,20,27002003,0,0,0,0,0,0,0,0,0
111,27,002,003,21,27002003,0,0,0,0,0,0,0,0,0
111,27,002,004,09,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,10,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,11,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,12,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,13,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,17,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,18,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,19,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,20,27002004,0,0,0,0,0,0,0,0,0
111,27,002,004,21,27002004,0,0,0,0,0,0,0,0,0
111,27,002,005,09,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,10,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,11,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,12,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,13,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,17,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,18,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,19,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,20,27002005,0,0,0,0,0,0,0,0,0
111,27,002,005,21,27002005,0,0,0,0,0,0,0,0,0
111,27,002,006,09,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,10,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,11,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,12,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,13,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,17,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,18,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,19,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,20,27002006,0,0,0,0,0,0,0,0,0
111,27,002,006,21,27002006,0,0,0,0,0,0,0,0,0
111,27,002,007,09,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,10,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,11,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,12,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,13,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,17,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,18,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,19,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,20,27002007,0,0,0,0,0,0,0,0,0
111,27,002,007,21,27002007,0,0,0,0,0,0,0,0,0
111,27,002,008,09,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,10,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,11,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,12,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,13,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,17,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,18,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,19,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,20,27002008,0,0,0,0,0,0,0,0,0
111,27,002,008,21,27002008,0,0,0,0,0,0,0,0,0
